seed,state_idx,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode
0,2203,1,"[1.1213048696517944, 1.2749395370483398]","[0.30193156003952026, 0.4555662274360657]","[-0.5174416899681091, -0.3638070225715637]","[0.8193733096122742, 0.8193733096122742]","[-0.8193732500076294, -0.8193732500076294]",-1,1
0,2203,3,"[2.644517660140991, 2.6583762168884277]","[0.30725541710853577, 0.32111406326293945]","[-2.0300068855285645, -2.016148090362549]","[2.3372621536254883, 2.3372621536254883]","[-2.3372623920440674, -2.3372621536254883]",-1,1
0,2203,5,"[0.8483794331550598, 0.744288980960846]","[0.33677807450294495, 0.23268769681453705]","[-0.17482326924800873, -0.27891358733177185]","[0.5116013288497925, 0.5116012692451477]","[-0.5116013288497925, -0.5116012692451477]",-1,1
0,1480,1,"[2.102578639984131, 2.5052502155303955]","[1.283205509185791, 1.6858769655227661]","[0.46383219957351685, 0.8665037155151367]","[0.8193731307983398, 0.8193732500076294]","[-0.8193733096122742, -0.8193732500076294]",-1,1
0,1480,3,"[3.5301172733306885, 3.7687318325042725]","[1.1928551197052002, 1.4314695596694946]","[-1.1444071531295776, -0.9057927131652832]","[2.3372621536254883, 2.3372621536254883]","[-2.3372621536254883, -2.3372621536254883]",-1,1
0,1480,5,"[1.6476330757141113, 1.746384859085083]","[1.1360317468643188, 1.2347835302352905]","[0.6244304180145264, 0.723182201385498]","[0.5116013288497925, 0.5116013288497925]","[-0.5116013288497925, -0.5116013288497925]",-1,1
0,1986,1,"[2.6432406902313232, 2.6607606410980225]","[1.8238673210144043, 1.841387391090393]","[1.004494071006775, 1.0220141410827637]","[0.819373369216919, 0.8193732500076294]","[-0.8193732500076294, -0.8193732500076294]",-1,1
0,1986,3,"[4.018064498901367, 3.9090797901153564]","[1.6808024644851685, 1.5718176364898682]","[-0.6564597487449646, -0.7654445171356201]","[2.3372621536254883, 2.3372621536254883]","[-2.3372621536254883, -2.3372621536254883]",-1,1
0,1986,5,"[2.088005542755127, 1.8730489015579224]","[1.5764042139053345, 1.3614475727081299]","[1.0648030042648315, 0.8498464226722717]","[0.5116013288497925, 0.5116013288497925]","[-0.5116012096405029, -0.5116011500358582]",-1,1
0,1436,1,"[2.2126271724700928, 2.19936466217041]","[3.0320003032684326, 3.018738031387329]","[3.8513736724853516, 3.838111162185669]","[-0.8193731307983398, -0.819373369216919]","[0.819373369216919, 0.8193731307983398]",1,0
0,1436,3,"[0.4338802993297577, 0.2971142530441284]","[2.7711424827575684, 2.6343765258789062]","[5.108405113220215, 4.9716386795043945]","[-2.3372621536254883, -2.3372621536254883]","[2.3372626304626465, 2.3372621536254883]",1,0
0,1436,5,"[2.048834800720215, 1.8088057041168213]","[2.560436248779297, 2.320406913757324]","[3.072037696838379, 2.8320083618164062]","[-0.511601448059082, -0.5116012096405029]","[0.511601448059082, 0.511601448059082]",1,0
0,1010,1,"[-1.0708675384521484, -1.2288686037063599]","[-1.8902407884597778, -2.0482418537139893]","[-2.7096140384674072, -2.867615222930908]","[0.8193732500076294, 0.8193732500076294]","[-0.8193732500076294, -0.819373369216919]",-1,1
0,1010,3,"[0.6660820841789246, 0.39868947863578796]","[-1.6711801290512085, -1.938572645187378]","[-4.008442401885986, -4.275835037231445]","[2.3372621536254883, 2.3372621536254883]","[-2.3372621536254883, -2.3372623920440674]",-1,1
0,1010,5,"[-0.9371587038040161, -1.2950782775878906]","[-1.4487600326538086, -1.8066794872283936]","[-1.9603614807128906, -2.3182811737060547]","[0.5116013288497925, 0.5116012096405029]","[-0.511601448059082, -0.5116016864776611]",-1,1
0,2713,1,"[3.465444326400757, 3.2723169326782227]","[2.646070957183838, 2.4529435634613037]","[1.826697826385498, 1.6335704326629639]","[0.819373369216919, 0.819373369216919]","[-0.8193731307983398, -0.8193731307983398]",-1,1
0,2713,3,"[4.760103702545166, 4.461009502410889]","[2.4228413105010986, 2.1237471103668213]","[0.08557912707328796, -0.2135149985551834]","[2.3372623920440674, 2.3372623920440674]","[-2.3372621536254883, -2.3372621536254883]",-1,1
0,2713,5,"[2.7576959133148193, 2.3711655139923096]","[2.2460944652557373, 1.859563946723938]","[1.7344930171966553, 1.347962737083435]","[0.511601448059082, 0.5116015672683716]","[-0.511601448059082, -0.5116012096405029]",-1,1
0,2375,1,"[0.48351389169692993, 0.5302430391311646]","[-0.33585935831069946, -0.28913024067878723]","[-1.1552326679229736, -1.1085034608840942]","[0.8193732500076294, 0.8193732500076294]","[-0.8193733096122742, -0.8193732500076294]",-1,1
0,2375,3,"[2.06891131401062, 1.9862877130508423]","[-0.26835089921951294, -0.35097450017929077]","[-2.6056132316589355, -2.688236713409424]","[2.3372621536254883, 2.3372621536254883]","[-2.3372623920440674, -2.3372621536254883]",-1,1
0,2375,5,"[0.3288947343826294, 0.13772906363010406]","[-0.18270662426948547, -0.37387222051620483]","[-0.6943081021308899, -0.8854734897613525]","[0.5116013288497925, 0.5116012692451477]","[-0.511601448059082, -0.5116012692451477]",-1,1
0,2220,1,"[0.11855386942625046, -0.11191826313734055]","[0.9379271268844604, 0.7074549794197083]","[1.7573003768920898, 1.5268282890319824]","[-0.8193732500076294, -0.8193732500076294]","[0.8193732500076294, 0.8193733096122742]",1,0
0,2220,3,"[-1.4560208320617676, -1.7888184785842896]","[0.8812414407730103, 0.548443615436554]","[3.218503475189209, 2.8857059478759766]","[-2.3372621536254883, -2.3372621536254883]","[2.3372621536254883, 2.3372623920440674]",1,0
0,2220,5,"[0.34319910407066345, -0.07374857366085052]","[0.8548004627227783, 0.4378526210784912]","[1.3664016723632812, 0.9494540691375732]","[-0.5116013288497925, -0.5116012096405029]","[0.5116012096405029, 0.511601448059082]",1,0
0,238,1,"[3.3738443851470947, 3.4675981998443604]","[2.554471015930176, 2.6482250690460205]","[1.735097885131836, 1.8288516998291016]","[0.819373369216919, 0.8193731307983398]","[-0.8193731307983398, -0.819373369216919]",-1,1
0,238,3,"[4.677434921264648, 4.637250900268555]","[2.340172290802002, 2.2999885082244873]","[0.0029102053958922625, -0.03727361559867859]","[2.3372626304626465, 2.3372623920440674]","[-2.3372621536254883, -2.3372621536254883]",-1,1
0,238,5,"[2.6830873489379883, 2.5302233695983887]","[2.171485662460327, 2.0186219215393066]","[1.6598843336105347, 1.5070207118988037]","[0.5116016864776611, 0.511601448059082]","[-0.5116013288497925, -0.5116012096405029]",-1,1
0,462,1,"[0.7890353202819824, 0.8915953040122986]","[-0.030337905511260033, 0.07222206890583038]","[-0.8497111797332764, -0.7471511960029602]","[0.8193732500076294, 0.8193732500076294]","[-0.8193732500076294, -0.8193732500076294]",-1,1
0,462,3,"[2.34464430809021, 2.312408208847046]","[0.007382215932011604, -0.024854041635990143]","[-2.3298799991607666, -2.3621163368225098]","[2.3372621536254883, 2.3372621536254883]","[-2.3372621536254883, -2.3372623920440674]",-1,1
0,462,5,"[0.5777437090873718, 0.4320527911186218]","[0.0661424994468689, -0.07954851537942886]","[-0.44545885920524597, -0.5911498665809631]","[0.5116012096405029, 0.5116013288497925]","[-0.5116013288497925, -0.5116013288497925]",-1,1
0,1723,1,"[1.5133507251739502, 1.4801135063171387]","[0.6939774751663208, 0.660740315914154]","[-0.1253957599401474, -0.15863294899463654]","[0.8193732500076294, 0.8193731904029846]","[-0.8193732500076294, -0.8193732500076294]",-1,1
0,1723,3,"[2.9983389377593994, 2.843545913696289]","[0.6610768437385559, 0.5062836408615112]","[-1.6761853694915771, -1.830978512763977]","[2.3372621536254883, 2.3372621536254883]","[-2.3372621536254883, -2.3372621536254883]",-1,1
0,1723,5,"[1.1677031517028809, 0.9114046096801758]","[0.6561018824577332, 0.3998032212257385]","[0.14450059831142426, -0.11179802566766739]","[0.5116012692451477, 0.5116013884544373]","[-0.5116012692451477, -0.5116012692451477]",-1,1
0,2206,1,"[-0.4457125961780548, -0.31392309069633484]","[-1.2650858163833618, -1.1332963705062866]","[-2.084459066390991, -1.952669620513916]","[0.8193732500076294, 0.8193732500076294]","[-0.8193732500076294, -0.8193732500076294]",-1,1
0,2206,3,"[1.2302844524383545, 1.2244278192520142]","[-1.1069778203964233, -1.1128344535827637]","[-3.444239854812622, -3.450096607208252]","[2.3372621536254883, 2.3372621536254883]","[-2.3372621536254883, -2.3372621536254883]",-1,1
0,2206,5,"[-0.42796605825424194, -0.5498495101928711]","[-0.9395674467086792, -1.0614508390426636]","[-1.4511686563491821, -1.573052167892456]","[0.5116013884544373, 0.5116013288497925]","[-0.5116012096405029, -0.5116013288497925]",-1,1
0,1714,1,"[1.0256773233413696, 0.8952752947807312]","[1.845050573348999, 1.7146484851837158]","[2.664423704147339, 2.5340218544006348]","[-0.8193732500076294, -0.8193731904029846]","[0.8193731307983398, 0.819373369216919]",1,0
0,1714,3,"[-0.6373418569564819, -0.8798263669013977]","[1.6999202966690063, 1.4574357271194458]","[4.037182331085205, 3.7946979999542236]","[-2.3372621536254883, -2.3372621536254883]","[2.3372621536254883, 2.3372621536254883]",1,0
0,1714,5,"[1.0820568799972534, 0.746616780757904]","[1.593658208847046, 1.2582180500030518]","[2.1052591800689697, 1.7698193788528442]","[-0.5116013288497925, -0.5116012692451477]","[0.5116009712219238, 0.5116013288497925]",1,0
0,1467,1,"[1.9943662881851196, 2.118486166000366]","[2.813739538192749, 2.937859535217285]","[3.633112907409668, 3.757232666015625]","[-0.8193732500076294, -0.819373369216919]","[0.819373369216919, 0.8193731307983398]",1,0
0,1467,3,"[0.2368999421596527, 0.22412143647670746]","[2.574162006378174, 2.5613839626312256]","[4.91142463684082, 4.898645877838135]","[-2.3372621536254883, -2.3372626304626465]","[2.3372626304626465, 2.337261915206909]",1,0
0,1467,5,"[1.8710601329803467, 1.7429296970367432]","[2.3826613426208496, 2.254531145095825]","[2.8942630290985107, 2.766132354736328]","[-0.5116012096405029, -0.511601448059082]","[0.5116016864776611, 0.5116012096405029]",1,0
