seed,state_idx,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode
3,1655,1,"[0.4144696295261383, 0.33861780166625977]","[1.1144696474075317, 1.038617730140686]","[1.814469575881958, 1.7386177778244019]","[-0.7000000476837158, -0.6999999284744263]","[0.6999999284744263, 0.7000000476837158]",1,0
3,1655,3,"[-1.010108470916748, -1.0148016214370728]","[0.9446907043457031, 0.9399973154067993]","[2.899489641189575, 2.894796371459961]","[-1.9547991752624512, -1.954798936843872]","[1.954798936843872, 1.9547990560531616]",1,0
3,1655,5,"[-2.2471797466278076, -2.290544033050537]","[0.7909940481185913, 0.747629702091217]","[3.8291678428649902, 3.7858033180236816]","[-3.0381736755371094, -3.0381736755371094]","[3.0381736755371094, 3.0381736755371094]",1,0
3,1900,1,"[-0.532030463218689, -0.6345694661140442]","[0.16796952486038208, 0.06543054431676865]","[0.8679695129394531, 0.7654305100440979]","[-0.699999988079071, -0.699999988079071]","[0.699999988079071, 0.699999988079071]",1,0
3,1900,3,"[-1.8273024559020996, -1.855036973953247]","[0.1274966150522232, 0.09976211190223694]","[2.0822956562042236, 2.054561138153076]","[-1.9547990560531616, -1.9547990560531616]","[1.9547990560531616, 1.9547990560531616]",1,0
3,1900,5,"[-2.952732801437378, -3.0159904956817627]","[0.08544094860553741, 0.022183237597346306]","[3.123614549636841, 3.060356855392456]","[-3.0381736755371094, -3.0381736755371094]","[3.0381736755371094, 3.0381736755371094]",1,0
3,2918,1,"[-2.5155391693115234, -2.375579357147217]","[-1.8155392408370972, -1.6755794286727905]","[-1.1155391931533813, -0.9755793809890747]","[-0.6999999284744263, -0.6999999284744263]","[0.7000000476837158, 0.7000000476837158]",1,0
3,2918,3,"[-3.5398342609405518, -3.358198881149292]","[-1.5850350856781006, -1.4033998250961304]","[0.3697640001773834, 0.5513993501663208]","[-1.9547991752624512, -1.9547990560531616]","[1.9547990560531616, 1.9547991752624512]",1,0
3,2918,5,"[-4.431306838989258, -4.313797950744629]","[-1.393133282661438, -1.27562415599823]","[1.645040512084961, 1.762549638748169]","[-3.0381736755371094, -3.0381736755371094]","[3.0381736755371094, 3.0381736755371094]",1,0
3,1340,1,"[2.3921971321105957, 2.4073376655578613]","[1.6921970844268799, 1.707337737083435]","[0.9921971559524536, 1.0073378086090088]","[0.7000000476837158, 0.6999999284744263]","[-0.6999999284744263, -0.6999999284744263]",-1,1
3,1340,3,"[3.3982911109924316, 3.4721591472625732]","[1.443491816520691, 1.5173602104187012]","[-0.5113071799278259, -0.43743884563446045]","[1.9547992944717407, 1.954798936843872]","[-1.954798936843872, -1.9547990560531616]",-1,1
3,1340,5,"[4.259825229644775, 4.284289836883545]","[1.2216514348983765, 1.246116280555725]","[-1.816522240638733, -1.7920576333999634]","[3.0381736755371094, 3.0381736755371094]","[-3.0381736755371094, -3.0381739139556885]",-1,1
3,97,1,"[-2.4169673919677734, -2.2372398376464844]","[-1.7169673442840576, -1.5372397899627686]","[-1.0169672966003418, -0.8372397422790527]","[-0.7000000476837158, -0.7000000476837158]","[0.7000000476837158, 0.7000000476837158]",1,0
3,97,3,"[-3.454728603363037, -3.2387583255767822]","[-1.499929666519165, -1.2839593887329102]","[0.45486950874328613, 0.6708396673202515]","[-1.954798936843872, -1.954798936843872]","[1.9547991752624512, 1.9547990560531616]",1,0
3,97,5,"[-4.357828140258789, -4.21067476272583]","[-1.3196544647216797, -1.1725012063980103]","[1.7185194492340088, 1.8656727075576782]","[-3.0381736755371094, -3.0381736755371094]","[3.0381739139556885, 3.0381739139556885]",1,0
3,8,1,"[0.937201738357544, 1.1186953783035278]","[0.2372017353773117, 0.4186953902244568]","[-0.46279823780059814, -0.28130459785461426]","[0.699999988079071, 0.699999988079071]","[-0.699999988079071, -0.699999988079071]",-1,1
3,8,3,"[2.1420698165893555, 2.359564781188965]","[0.18727067112922668, 0.40476566553115845]","[-1.7675284147262573, -1.5500333309173584]","[1.9547991752624512, 1.9547991752624512]","[-1.9547990560531616, -1.954798936843872]",-1,1
3,8,5,"[3.175222873687744, 3.323692560195923]","[0.13704895973205566, 0.28551873564720154]","[-2.901124954223633, -2.752655029296875]","[3.0381739139556885, 3.0381739139556885]","[-3.0381739139556885, -3.0381736755371094]",-1,1
