state_dim,utility,utility_type,mechanism,heldout_match,far_ood_match,mean_nn_distance,total_capital_cost,parameter_cost_bytes,training_data_cost_bytes,inference_cost_ops,performance_per_byte
4,H_target_7,target,CounterfactualCompressor,0.31666666666666665,0.17,2.2775578329960506,65964,44364,0,0,4.800598306146787e-06
4,H_target_7,target,PolicyClone,0.31333333333333335,0.42,2.2775578329960506,44364,44364,0,0,7.0627836383854784e-06
4,H_target_7,target,RawMemoryOutcomeTableFull,1.0,1.0,2.2775578329960506,26588,0,4988,3480,3.761095230931247e-05
4,H_target_7,target,StandardizedKNNOutcomeTable,1.0,1.0,2.2775578329960506,4988,0,4988,3480,0.00020048115477145148
4,H_target_7,target,PrototypeOutcomeTable,1.0,1.0,2.2775578329960506,30200,0,8600,6000,3.3112582781456954e-05
4,H_target_9,target,AEPCompressor,0.725,0.57,2.2775578329960506,79876,58276,0,0,9.076568681456258e-06
4,H_target_9,target,ResidualCompressor,0.7083333333333334,0.45,2.2775578329960506,62264,40664,0,0,1.1376290205147972e-05
4,H_target_9,target,CounterfactualCompressor,0.38,0.38,2.2775578329960506,65964,44364,0,0,5.760717967376145e-06
4,H_target_9,target,PolicyClone,0.205,0.3,2.2775578329960506,44364,44364,0,0,4.620863763411775e-06
4,H_target_9,target,RawMemoryOutcomeTableFull,0.5233333333333333,0.54,2.2775578329960506,26588,0,4988,3480,1.9683065041873527e-05
4,H_target_9,target,StandardizedKNNOutcomeTable,0.5233333333333333,0.54,2.2775578329960506,4988,0,4988,3480,0.0001049184709970596
4,H_target_9,target,PrototypeOutcomeTable,0.53,0.555,2.2775578329960506,30200,0,8600,6000,1.7549668874172186e-05
4,H_target_10,target,AEPCompressor,0.995,0.755,2.2775578329960506,79876,58276,0,0,1.2456808052481346e-05
4,H_target_10,target,ResidualCompressor,0.9983333333333333,0.75,2.2775578329960506,62264,40664,0,0,1.6033877253843848e-05
4,H_target_10,target,CounterfactualCompressor,0.29833333333333334,0.315,2.2775578329960506,65964,44364,0,0,4.522668930527763e-06
4,H_target_10,target,PolicyClone,0.8633333333333333,0.495,2.2775578329960506,44364,44364,0,0,1.946022300363658e-05
4,H_target_10,target,RawMemoryOutcomeTableFull,0.9983333333333333,1.0,2.2775578329960506,26588,0,4988,3480,3.754826738879695e-05
4,H_target_10,target,StandardizedKNNOutcomeTable,0.9983333333333333,1.0,2.2775578329960506,4988,0,4988,3480,0.00020014701951349905
4,H_target_10,target,PrototypeOutcomeTable,0.9983333333333333,1.0,2.2775578329960506,30200,0,8600,6000,3.3057395143487855e-05
4,H_piecewise_15,piecewise,AEPCompressor,0.7716666666666666,0.635,2.2775578329960506,79876,58276,0,0,9.660807585090222e-06
4,H_piecewise_15,piecewise,ResidualCompressor,0.7166666666666667,0.545,2.2775578329960506,62264,40664,0,0,1.151012891344383e-05
4,H_piecewise_15,piecewise,CounterfactualCompressor,0.185,0.395,2.2775578329960506,65964,44364,0,0,2.8045600630647018e-06
4,H_piecewise_15,piecewise,PolicyClone,0.028333333333333332,0.18,2.2775578329960506,44364,44364,0,0,6.386559673008144e-07
4,H_piecewise_15,piecewise,RawMemoryOutcomeTableFull,0.5033333333333333,0.525,2.2775578329960506,26588,0,4988,3480,1.8930845995687275e-05
4,H_piecewise_15,piecewise,StandardizedKNNOutcomeTable,0.5033333333333333,0.525,2.2775578329960506,4988,0,4988,3480,0.00010090884790163057
4,H_piecewise_15,piecewise,PrototypeOutcomeTable,0.515,0.535,2.2775578329960506,30200,0,8600,6000,1.705298013245033e-05
4,H_piecewise_18,piecewise,AEPCompressor,0.7716666666666666,0.635,2.2775578329960506,79876,58276,0,0,9.660807585090222e-06
4,H_piecewise_18,piecewise,ResidualCompressor,0.7166666666666667,0.55,2.2775578329960506,62264,40664,0,0,1.151012891344383e-05
4,H_piecewise_18,piecewise,CounterfactualCompressor,0.4633333333333333,0.49,2.2775578329960506,65964,44364,0,0,7.024033311098983e-06
4,H_piecewise_18,piecewise,PolicyClone,0.5233333333333333,0.425,2.2775578329960506,44364,44364,0,0,1.1796351396026807e-05
4,H_piecewise_18,piecewise,RawMemoryOutcomeTableFull,0.5033333333333333,0.525,2.2775578329960506,26588,0,4988,3480,1.8930845995687275e-05
4,H_piecewise_18,piecewise,StandardizedKNNOutcomeTable,0.5033333333333333,0.525,2.2775578329960506,4988,0,4988,3480,0.00010090884790163057
4,H_piecewise_18,piecewise,PrototypeOutcomeTable,0.515,0.535,2.2775578329960506,30200,0,8600,6000,1.705298013245033e-05
4,H_multiobj_24,multiobj,AEPCompressor,1.0,1.0,2.2775578329960506,79876,58276,0,0,1.25194050778707e-05
4,H_multiobj_24,multiobj,ResidualCompressor,1.0,1.0,2.2775578329960506,62264,40664,0,0,1.606064499550302e-05
