step,capital,action,oracle,correct,utility,regret
88,res,1,1,1,-5.918013572692871,0.0
89,res,1,2,0,-3.2817461490631104,1.0
90,res,1,1,1,-2.1876635551452637,0.0
91,res,1,1,1,-4.286471366882324,0.0
92,res,1,1,1,-3.8749680519104004,0.0
93,res,1,2,0,-3.2523162364959717,1.0
94,res,1,1,1,-5.9148664474487305,0.0
95,res,1,1,1,-4.881260871887207,0.0
96,res,1,2,0,-1.38761305809021,1.0
97,res,1,1,1,-6.066882610321045,0.0
98,res,2,2,1,-4.784429550170898,0.0
99,res,2,1,0,-3.140862464904785,1.0
100,res,1,2,0,-3.2817461490631104,1.0
101,res,0,0,1,-6.464717388153076,0.0
102,res,1,1,1,-4.286471366882324,0.0
103,res,0,0,1,-4.991368293762207,0.0
104,res,1,1,1,-6.609445571899414,0.0
105,res,0,0,1,-4.054628372192383,0.0
106,res,1,1,1,-5.3035197257995605,0.0
107,res,0,0,1,-2.8308815956115723,0.0
108,res,1,1,1,-5.756359100341797,0.0
109,res,0,0,1,-5.7484965324401855,0.0
110,res,1,2,0,-2.3785386085510254,1.0
111,res,0,0,1,-5.233817100524902,0.0
112,res,1,1,1,-2.637269973754883,0.0
113,res,0,0,1,-5.598573207855225,0.0
114,res,1,1,1,-4.892409324645996,0.0
115,res,0,0,1,-5.359099864959717,0.0
116,res,1,1,1,-8.605199813842773,0.0
117,res,0,0,1,-5.355660438537598,0.0
118,res,1,1,1,-4.964271545410156,0.0
119,res,0,0,1,-4.106477737426758,0.0
120,res,1,1,1,-2.1876635551452637,0.0
121,res,0,0,1,-6.2743377685546875,0.0
122,res,1,1,1,-5.383496284484863,0.0
123,res,0,0,1,-5.712493896484375,0.0
124,res,2,2,1,-6.207993507385254,0.0
125,res,0,0,1,-5.359099864959717,0.0
126,res,1,1,1,-6.904509544372559,0.0
127,res,0,0,1,-4.385315895080566,0.0
128,res,1,2,0,-2.953064441680908,1.0
129,res,0,0,1,-8.667001724243164,0.0
130,res,1,2,0,-2.2163851261138916,1.0
131,res,0,0,1,-5.060827255249023,0.0
132,res,1,1,1,-4.35452938079834,0.0
133,res,0,0,1,-2.333218574523926,0.0
134,res,1,0,0,-0.1821262240409851,1.0
135,res,0,0,1,-6.0090837478637695,0.0
136,res,1,1,1,-7.061066627502441,0.0
137,res,0,0,1,-4.517400741577148,0.0
138,res,1,1,1,-3.0665340423583984,0.0
139,res,0,0,1,-1.818875789642334,0.0
140,res,1,1,1,-3.696622848510742,0.0
141,res,0,0,1,-1.9509754180908203,0.0
142,res,1,2,0,-2.3785386085510254,1.0
143,res,0,0,1,-7.669284820556641,0.0
144,res,1,2,0,-2.924614429473877,1.0
145,res,0,0,1,-5.243520736694336,0.0
146,res,1,1,1,-4.630207061767578,0.0
147,res,0,0,1,-5.3968610763549805,0.0
148,res,1,1,1,-2.425523042678833,0.0
149,res,0,0,1,-6.760868072509766,0.0
150,res,2,2,1,-6.207993507385254,0.0
151,res,0,0,1,-7.111547946929932,0.0
152,res,1,1,1,-2.4116406440734863,0.0
153,res,0,0,1,-2.972459077835083,0.0
154,res,1,1,1,-2.4405393600463867,0.0
155,res,0,0,1,-2.8308815956115723,0.0
156,res,1,1,1,-4.912177085876465,0.0
157,res,0,0,1,-2.333218574523926,0.0
158,res,1,1,1,-4.892409324645996,0.0
159,res,0,0,1,-5.233817100524902,0.0
160,res,2,2,1,-3.037444591522217,0.0
161,res,0,0,1,-2.8308815956115723,0.0
162,res,2,1,0,-3.4420576095581055,1.0
163,res,0,0,1,-7.669284820556641,0.0
164,res,1,1,1,-3.0290699005126953,0.0
165,res,0,0,1,-6.413800239562988,0.0
166,res,1,1,1,-4.752829551696777,0.0
167,res,0,0,1,-6.731232166290283,0.0
168,res,1,1,1,-5.206290245056152,0.0
169,res,0,0,1,-2.626309394836426,0.0
170,res,1,2,0,-1.9476394653320312,1.0
171,res,0,0,1,-4.22191858291626,0.0
172,res,1,1,1,-3.1711461544036865,0.0
173,res,0,0,1,-6.311586856842041,0.0
174,res,2,2,1,-5.966738700866699,0.0
175,res,0,0,1,-4.978847503662109,0.0
176,res,1,1,1,-5.159625053405762,0.0
177,res,0,0,1,-6.121230602264404,0.0
