capital_0,capital_1,capital_2,capital_3,step
0.20054273,0.26078835,0.31829876,0.22037013,440
0.20156889,0.26212278,0.3148106,0.22149774,441
0.20378734,0.2540018,0.3182754,0.22393553,442
0.20440207,0.25175142,0.3192355,0.22461104,443
0.20287688,0.24987291,0.32431513,0.22293505,444
0.20488977,0.24243034,0.3275329,0.22514696,445
0.20626962,0.244063,0.32300407,0.22666323,446
0.20067504,0.2457833,0.3252808,0.22826089,447
0.19774076,0.24668556,0.32647488,0.22909883,448
0.1969106,0.24564993,0.3293025,0.22813703,449
0.19790098,0.2418559,0.33095872,0.22928445,450
0.19949771,0.24380729,0.32556054,0.2311344,451
0.20053767,0.23986542,0.32725763,0.23233928,452
0.19866638,0.23762715,0.3335352,0.23017123,453
0.19754612,0.23628719,0.33729345,0.22887333,454
0.1973359,0.23603575,0.3369345,0.2296939,455
0.1960282,0.23447159,0.34132847,0.22817178,456
0.19743885,0.23615889,0.34378475,0.22261755,457
0.20393135,0.23424843,0.34100363,0.22081664,458
0.20280536,0.23295504,0.33912078,0.22511889,459
0.20279847,0.23298103,0.33910927,0.22511125,460
0.20324443,0.23129429,0.339855,0.22560628,461
0.2038821,0.23201995,0.33778384,0.2263141,462
0.20372497,0.23261188,0.33752352,0.22613968,463
0.20239818,0.23109695,0.34183797,0.22466691,464
0.20461607,0.23362933,0.33462584,0.22712882,465
0.21164599,0.23156442,0.3316683,0.22512136,466
0.21256815,0.2282162,0.3331134,0.22610225,467
0.21949802,0.22620778,0.3301818,0.22411242,468
0.21967047,0.2263855,0.32965556,0.22428851,469
0.2218314,0.2257586,0.32874268,0.2236674,470
0.22024776,0.22621801,0.32941166,0.22412255,471
0.21994542,0.22590747,0.32895947,0.22518764,472
0.21893352,0.22486815,0.32744604,0.22875227,473
0.21794389,0.2238517,0.3259659,0.23223852,474
0.21851367,0.22182259,0.3268181,0.23284566,475
0.21995665,0.22141302,0.32621464,0.23241574,476
0.2191295,0.2243409,0.32498792,0.23154174,477
0.2161143,0.22520715,0.3262428,0.2324358,478
0.21301223,0.22609837,0.32753384,0.23335561,479
0.21133225,0.2243152,0.32495067,0.2394019,480
0.2129578,0.21834862,0.32745016,0.24124336,481
0.21257506,0.2179562,0.32865894,0.2408098,482
0.21272446,0.21791486,0.3285966,0.24076413,483
0.21923488,0.21611278,0.32587922,0.2387731,484
0.21897087,0.21585253,0.326691,0.23848554,485
0.2177821,0.21468067,0.3303464,0.23719083,486
0.22027907,0.21714209,0.33413398,0.22844486,487
0.21930227,0.21617919,0.3326523,0.23186626,488
0.21841249,0.2153021,0.3353599,0.2309255,489
0.2188049,0.21389227,0.33596244,0.2313404,490
0.21985179,0.21013105,0.3375699,0.23244727,491
0.21803348,0.2106208,0.33835667,0.23298903,492
0.20838413,0.21321985,0.34253195,0.23586409,493
0.21043468,0.21531798,0.33606228,0.23818505,494
0.20923309,0.21408851,0.33414334,0.24253508,495
0.20612842,0.2109118,0.34402356,0.23893628,496
0.2050595,0.20981807,0.34223956,0.24288294,497
0.20522429,0.20918302,0.3425146,0.24307811,498
0.20757651,0.2001188,0.3464404,0.24586421,499
0.20756745,0.20011006,0.346469,0.24585348,500
0.20467462,0.20084059,0.34773386,0.24675101,501
0.20394956,0.20367147,0.34650204,0.24587691,502
0.20314799,0.20287101,0.34907052,0.24491055,503
0.20199499,0.20171957,0.3470893,0.24919617,504
0.20320801,0.20141292,0.34656167,0.24881735,505
0.20378959,0.20198935,0.3446916,0.24952947,506
0.20154957,0.19976912,0.35189465,0.24678667,507
0.19892515,0.21018909,0.34731254,0.24357322,508
0.20236015,0.2138186,0.35330987,0.2305114,509
0.20241027,0.21380515,0.35328767,0.2304969,510
0.20281161,0.21422909,0.35398817,0.22897111,511
0.20596138,0.21338266,0.35258952,0.22806641,512
0.20373634,0.21107745,0.3595836,0.2256026,513
0.2044842,0.21185225,0.35723284,0.2264307,514
0.20334746,0.21067457,0.36080593,0.22517198,515
0.20427434,0.21163483,0.35789242,0.22619833,516
0.20534356,0.20750841,0.3597657,0.2273823,517
0.20387504,0.2060244,0.36434442,0.22575617,518
0.20443171,0.20658694,0.36260867,0.22637258,519
0.2170569,0.20330855,0.35685432,0.22278021,520
0.21805711,0.20424542,0.35389066,0.2238068,521
0.21972093,0.20580384,0.35659093,0.2178843,522
0.22091693,0.20148079,0.35853195,0.2190703,523
0.2202096,0.20403755,0.357384,0.21836889,524
0.22151473,0.20524684,0.35950214,0.21373634,525
0.22185437,0.20556153,0.3585201,0.21406405,526
