budget_type,budget,n_clusters,mechanism,utility,utility_type,utility_complexity,match,stored_bytes
prototype,,1000.0,PrototypeOutcomeTable,H_target_9,target,2,0.595,108000
prototype,,1000.0,PrototypeOutcomeTable,H_target_10,target,2,0.995,108000
prototype,,1000.0,PrototypeOutcomeTable,H_piecewise_15,piecewise,4,0.6,108000
prototype,,1000.0,PrototypeOutcomeTable,H_piecewise_18,piecewise,4,0.6,108000
prototype,,1000.0,PrototypeOutcomeTable,H_multiobj_24,multiobj,7,1.0,108000
neural,52132.0,,AEPCompressor,H_linear_0,linear,1,0.995,52132
neural,34520.0,,ResidualCompressor,H_linear_0,linear,1,1.0,34520
neural,52132.0,,AEPCompressor,H_linear_1,linear,1,1.0,52132
neural,34520.0,,ResidualCompressor,H_linear_1,linear,1,1.0,34520
neural,52132.0,,AEPCompressor,H_linear_2,linear,1,1.0,52132
neural,34520.0,,ResidualCompressor,H_linear_2,linear,1,1.0,34520
neural,52132.0,,AEPCompressor,H_linear_3,linear,1,1.0,52132
neural,34520.0,,ResidualCompressor,H_linear_3,linear,1,1.0,34520
neural,52132.0,,AEPCompressor,H_linear_4,linear,1,1.0,52132
neural,34520.0,,ResidualCompressor,H_linear_4,linear,1,1.0,34520
